ts_epoch_ms,open,high,low,close,volume
1761317580000,68247.5,68255.0,68225.0,68227.5,4544
1761317640000,68230.0,68237.5,68210.0,68227.5,4412
1761317700000,68230.0,68230.0,68200.0,68210.0,4208
1761317760000,68212.5,68232.5,68152.5,68180.0,6607
1761317820000,68182.5,68207.5,68170.0,68205.0,4143
1761317880000,68205.0,68230.0,68202.5,68217.5,3488
1761317940000,68217.5,68237.5,68212.5,68230.0,3609
1761318000000,68230.0,68245.0,68220.0,68240.0,3950
1761318060000,68242.5,68247.5,68210.0,68217.5,2973
1761318120000,68217.5,68232.5,68215.0,68227.5,2978
1761318180000,68227.5,68257.5,68220.0,68252.5,2606
1761318240000,68255.0,68257.5,68232.5,68237.5,2388
1761318300000,68240.0,68242.5,68215.0,68230.0,3060
1761318360000,68232.5,68247.5,68220.0,68230.0,2417
1761318420000,68230.0,68262.5,68220.0,68257.5,2303
1761318480000,68257.5,68262.5,68250.0,68252.5,1731
1761318540000,68255.0,68287.5,68252.5,68280.0,2597
1761318600000,68280.0,68282.5,68267.5,68270.0,2611
1761318660000,68270.0,68277.5,68247.5,68257.5,3255
1761318720000,68257.5,68287.5,68250.0,68285.0,1816
1761318780000,68285.0,68302.5,68282.5,68295.0,1877
1761318840000,68297.5,68310.0,68295.0,68307.5,1825
1761318900000,68310.0,68335.0,68307.5,68332.5,3336
1761318960000,68335.0,68357.5,68335.0,68345.0,3721
1761319020000,68345.0,68347.5,68330.0,68330.0,2573
1761319080000,68332.5,68350.0,68332.5,68340.0,2424
1761319140000,68342.5,68347.5,68330.0,68335.0,2608
1761319200000,68337.5,68365.0,68335.0,68360.0,3247
1761319260000,68362.5,68377.5,68360.0,68375.0,3734
1761319320000,68377.5,68390.0,68375.0,68377.5,3057
1761319380000,68380.0,68387.5,68370.0,68385.0,1895
1761319440000,68387.5,68412.5,68385.0,68395.0,4782
1761319500000,68395.0,68400.0,68380.0,68382.5,3184
1761319560000,68385.0,68390.0,68380.0,68390.0,1739
1761319620000,68390.0,68395.0,68377.5,68390.0,1814
1761319680000,68392.5,68392.5,68370.0,68372.5,1905
1761319740000,68375.0,68387.5,68372.5,68380.0,1647
1761319800000,68382.5,68397.5,68380.0,68385.0,1786
1761319860000,68385.0,68410.0,68382.5,68397.5,2602
1761319920000,68397.5,68405.0,68390.0,68402.5,1403
1761319980000,68402.5,68402.5,68390.0,68392.5,1689
1761320040000,68392.5,68392.5,68372.5,68377.5,2233
1761320100000,68375.0,68375.0,68337.5,68355.0,6009
1761320160000,68355.0,68387.5,68355.0,68385.0,2749
1761320220000,68385.0,68387.5,68370.0,68377.5,2012
1761320280000,68375.0,68385.0,68367.5,68382.5,1269
1761320340000,68382.5,68385.0,68372.5,68380.0,1587
1761320400000,68380.0,68380.0,68352.5,68365.0,1735
1761320460000,68365.0,68375.0,68360.0,68370.0,1246
1761320520000,68370.0,68370.0,68347.5,68365.0,1559
1761320580000,68367.5,68367.5,68350.0,68352.5,1617
1761320640000,68350.0,68362.5,68337.5,68345.0,2207
1761320700000,68345.0,68347.5,68315.0,68340.0,6746
1761320760000,68340.0,68360.0,68335.0,68352.5,2258
1761320820000,68352.5,68370.0,68345.0,68362.5,2152
